GCMD Keyword Last Word,Paramater Vocab,Note
GLACIAL MEASUREMENTS,,Needs mapping
GLACIAL PROCESSES,,Needs mapping
GLACIATION,,Needs mapping
GLACIER ELEVATION/ICE SHEET ELEVATION,,Needs mapping
GLACIER MASS BALANCE/ICE SHEET MASS BALANCE,,Needs mapping
GLACIER MOTION/ICE SHEET MOTION,,Needs mapping
GLACIER THICKNESS/ICE SHEET THICKNESS,,Needs mapping
GLACIER TOPOGRAPHY/ICE SHEET TOPOGRAPHY,,Needs mapping
GLACIER/ICE SHEET THICKNESS,,Needs mapping
GLACIERS,Uncategorised,
GLACIERS/ICE SHEETS,,Needs mapping
GLOBAL,Uncategorised,
GLOBAL CHANGE OBSERVATION MISSION 1ST-WATER,Uncategorised,
GLOBAL NAVIGATION SATELLITE SYSTEM,Uncategorised,
GLOBAL OCEAN,Uncategorised,
GLOBAL POSITIONING SYSTEM,Uncategorised,
GLOBAL POSITIONING SYSTEM SATELLITES,Uncategorised,
GLOBAL POSITIONING SYSTEMS,Uncategorised,
GNSS RECEIVER,Uncategorised,
GO-FLO BOTTLES,Uncategorised,
GPS RECEIVERS,Uncategorised,
GRAB SAMPLERS,Uncategorised,
GRAIN SIZE,,Needs mapping
GRASSLANDS,Uncategorised,
GRAVIMETERS,Uncategorised,
GRAVITATIONAL FIELD,Uncategorised,
GRAVITY WAVES,Wave,
GRAVITY/GRAVITATIONAL FIELD,Uncategorised,
GRAZING DYNAMICS / PLANT ECOLOGY,,Needs mapping
GRAZING DYNAMICS/PLANT HERBIVORY,,Needs mapping
GREAT BARRIER REEF,Uncategorised,
GREAT SOUTHERN AUSTRALIAN COASTAL UPWELLING SYSTEM,Uncategorised,
GREEN ALGAE,Ocean Biota,
GREENLAND,Uncategorised,
GROUND ICE,,Needs mapping
GROUND PENETRATING RADAR,Uncategorised,
GROUND STATIONS,Uncategorised,
GROUND WATER,Physical-Water,
GROUND-BASED OBSERVATIONS,Uncategorised,
GROUNDWATER CHEMISTRY,Chemical,
GROVE MOUNTAINS,Uncategorised,
GYRES,,Needs mapping
GYROS,Uncategorised,
HAIL STORMS,Precipitation and evaporation,
HALOCARBONS,Carbon,
HALOCLINE,Salinity,
HAPTOPHYTES,Ocean Biota,
HARD OR STONY CORALS,Ocean Biota,
HASWELL ISLAND,Uncategorised,
HAWKER ISLAND,Uncategorised,
"HEAD OF BIGHT, SOUTH AUSTRALIA",Uncategorised,
HEARD AND MCDONALD ISLANDS,Uncategorised,
HEARD ISLAND,Uncategorised,
HEAT FLUX,Temperature,
HEAT/COLD WAVE FREQUENCY/INTENSITY,Air temperature,
HEATING DEGREE DAYS,Air temperature,
HEATING RATE,,Needs mapping
HEAVY METALS CONCENTRATION,Chemical,
HELICOPTER,Uncategorised,
HERBIVORY,Uncategorised,
HERONS/EGRETS AND ALLIES,Biological,
HEXAPODS,Biological,
HIGH RESOLUTION RADIOMETER,Uncategorised,
HIGHER MAXIMUM DAYTIME TEMPERATURES,Air temperature,
HIGHER MINIMUM NIGHTTIME TEMPERATURES,Air temperature,
HIGH-PERFORMANCE LIQUID CHROMATOGRAPH,Uncategorised,
HOBART,Uncategorised,
HOLME BAY,Uncategorised,
HOLOCENE,Uncategorised,
HONKALA ISLAND,Uncategorised,
HOP ISLAND,Uncategorised,
HUKURO COVE,Uncategorised,
HUMAN DIMENSIONS,Uncategorised,
HUMIDITY,Humidity,
HUMIDITY INDEX,Humidity,
HUMIDITY SENSORS,Uncategorised,
HURRICANES,,Needs mapping
HYDROCARBONS,Chemical,
HYDROCHLOROFLUOROCARBONS,,Needs mapping
HYDROFLUOROCARBONS,,Needs mapping
HYDROPHONES,Uncategorised,
HYDROTHERMAL VENTS,,Needs mapping
HYDROZOANS,Ocean Biota,
HYPOXIA,Ocean Biota,
ICE AUGERS,Uncategorised,
ICE CORE AIR BUBBLES,,Needs mapping
ICE CORE RECORDS,,Needs mapping
ICE DEFORMATION,,Needs mapping
ICE DEPTH/THICKNESS,,Needs mapping
ICE EDGES,,Needs mapping
ICE EXTENT,,Needs mapping
ICE FLOES,,Needs mapping
ICE FRACTION,,Needs mapping
ICE GROWTH/MELT,,Needs mapping
ICE MOTION,,Needs mapping
ICE ROUGHNESS,,Needs mapping
ICE SHEET MEASUREMENTS,,Needs mapping
ICE SHEETS,,Needs mapping
ICE SHELVES,,Needs mapping
ICE STORMS,,Needs mapping
ICE TEMPERATURE,,Needs mapping
ICE TYPES,,Needs mapping
ICE VELOCITY,,Needs mapping
"ICE, CLOUD AND LAND ELEVATION SATELLITE",Uncategorised,
"ICE, CLOUD, AND LAND ELEVATION SATELLITE-2",Uncategorised,
ICEBERGS,,Needs mapping
IGNEOUS ROCK AGE DETERMINATIONS,,Needs mapping
IGNEOUS ROCK FORMATION,,Needs mapping
IGNEOUS ROCKS,,Needs mapping
ILES DE KERGUELEN,Uncategorised,
INCOMING SOLAR RADIATION,Air-Sea Fluxes,
INCUBATOR,Uncategorised,
INDIAN OCEAN,Uncategorised,
INDIAN SECTOR,Uncategorised,
INDICATOR SPECIES,Uncategorised,
INDIGENOUS VEGETATION,Uncategorised,
INDIGENOUS/NATIVE SPECIES,Biological,
INDONESIA,Uncategorised,
INDUCTIVELY COUPLED PLASMA ATOMIC EMISSION SPECTROMETER,Uncategorised,
INDUCTIVELY COUPLED PLASMA EMISSION SPECTROSCOPY,Uncategorised,
INDUCTIVELY COUPLED PLASMA MASS SPECTROMETER,Uncategorised,
INDUSTRIAL EMISSIONS,Uncategorised,
INDUSTRIALIZATION,Uncategorised,
INERTIAL MEASUREMENT UNIT,Uncategorised,
INERTIAL NAVIGATION SYSTEM,Uncategorised,
INFAUNA,Ocean Biota,
INFRARED CARBON DIOXIDE ANALYZER,Uncategorised,
INFRARED IMAGERY,Uncategorised,
INFRARED RADIANCE,Air-Sea Fluxes,
INFRASTRUCTURE,Uncategorised,
INLETS,Uncategorised,
INORGANIC CARBON,Carbon,
INORGANIC MATTER,Suspended particulate material,
INSECTS,Biological,
INTERFEROMETRIC SYNTHETIC APERTURE RADAR,Uncategorised,
INTERNAL WAVES,Wave,
INTERNATIONAL GEOSPHERE-BIOSPHERE PROGRAMME,Uncategorised,
INTERNATIONAL POLAR YEAR,Uncategorised,
INTERTIDAL OR EULITTORAL ZONE,,Needs mapping
INTERTIDAL ZONE,,Needs mapping
INTRASPECIFIC,Uncategorised,
INTRODUCED SPECIES,Biological,
INUNDATION,,Needs mapping
INVASIVE SPECIES,Uncategorised,
INVERTEBRATES,Biological,
ION CHROMATOGRAPHS,Uncategorised,
ION EXCHANGE,Uncategorised,
IONS,Chemical,
IPY,Uncategorised,
IRRADIANCE,Optical properties,
IRRIGATION,Uncategorised,
ISLAND ARCS,,Needs mapping
ISLANDS,Uncategorised,
ISLAS MALVINAS,Uncategorised,
ISOPODS,Biological,
ISOTOPE MEASUREMENTS,Chemical,
ISOTOPES,Chemical,
ISOTOPIC AGE,Chemical,
ISOTOPIC RATIO MASS SPECTROMETER,Uncategorised,
JELLYFISHES,Ocean Biota,
"JOINT GLOBAL OCEAN FLUX STUDY, IGBP",Uncategorised,
KARELIN BAY,Uncategorised,
K-AXIS,Uncategorised,
KELP FOREST,,Needs mapping
KEMMERER SAMPLER,Uncategorised,
KERGUELAN PLATEAU,Uncategorised,
KERGUELEN ISLANDS,Uncategorised,
KERGUELEN PLATEAU,Uncategorised,
KERGUELEN_PLATEAU,Uncategorised,
KINGSTON,Uncategorised,
KLOA POINT,Uncategorised,
KNOX COAST,Uncategorised,
LABORATORY,Uncategorised,
LAGOONS,,Needs mapping
LAKE ICE,,Needs mapping
LAKE LEVELS,,Needs mapping
LAKE/POND,,Needs mapping
LAKES,,Needs mapping
LAKES/RESERVOIRS,,Needs mapping
LAMP SHELLS,Biological,
LAND COVER,Uncategorised,
LAND HEAT CAPACITY,Uncategorised,
LAND MANAGEMENT,Uncategorised,
LAND PRODUCTIVITY,Uncategorised,
LAND RESOURCES,Uncategorised,
LAND SURFACE,Uncategorised,
LAND SURFACE TEMPERATURE,Uncategorised,
LAND TENURE,Uncategorised,
LAND USE CLASSES,Uncategorised,
LAND USE/LAND COVER CLASSIFICATION,Uncategorised,
LANDFORMS,,Needs mapping
LANDING BLUFF,Uncategorised,
LANDSAT,Uncategorised,
LANDSAT-4,Uncategorised,
LANDSAT-7,Uncategorised,
LANDSCAPE ECOLOGY,Uncategorised,
LANDSCAPE MANAGEMENT,Uncategorised,
LARSEMANN HILLS,Uncategorised,
LARVAE,Biological,
LASER ABLATION INDUCTIVELY COUPLED PLASMA MASS SPECTROMETER,Uncategorised,
LASER OPTICAL PARTICLE COUNTER,Uncategorised,
LATITUDINAL GRADIENT PROJECT,Uncategorised,
LAW DOME,Uncategorised,
LEADS,,Needs mapping
LEECHES,Biological,
LENGTH OF GROWING SEASON,Biological,
LICHENS,Biological,
LICOR QUANTUM SENSOR,Uncategorised,
LIDAR,Uncategorised,
LIFE HISTORY,Biological,
LIGHT DETECTION AND RANGING,Uncategorised,
LIGHT MICROSCOPE,Uncategorised,
LIGHT TRANSMISSION,Optical properties,
LIMPET,Ocean Biota,
LITHOSPHERIC PLATE MOTION,,Needs mapping
LITTER CHARACTERISTICS,Uncategorised,
LIZARDS/SNAKES,Biological,
LOEWE MASSIF,Uncategorised,
LONG FJORD,Uncategorised,
LONG STREAMERS,Uncategorised,
LONGSHORE CURRENTS,Current,
LONGWAVE RADIATION,Uncategorised,
"LOOP ANALYSIS, ECOSYSTEM MODEL, ESTUARINE ECOSYSTEM",Uncategorised,
LOW BACKGROUND LIQUID SCINTILLATION COUNTER,Uncategorised,
LOWERED ACOUSTIC DOPPLER CURRENT PROFILER,Uncategorised,
MAC. ROBERTSON LAND,Uncategorised,
MACQUARIE ISLAND,Uncategorised,
MACROALGAE,Ocean Biota,
MACROALGAE (SEAWEEDS),Ocean Biota,
MACROFAUNA,Biological,
MACROFOSSILS,Biological,
MACROPHYTE,Ocean Biota,
MACROPHYTES,Ocean Biota,
MAGNETIC ANOMALIES,,Needs mapping
MAGNETIC FIELD,,Needs mapping
MAGNETIC ISLAND,Uncategorised,
MAGNETOMETERS,Uncategorised,
MAJOR ELEMENTS,Chemical,
MAMMALS,Biological,
MANGROVES,Biological,
MAPS,Uncategorised,
MARINE,Uncategorised,
MARINE ADVISORIES,Uncategorised,
MARINE BIOLOGY,Ocean Biota,
MARINE BIRDS,Ocean Biota,
MARINE ECOSYSTEMS,Uncategorised,
MARINE ENVIRONMENT MONITORING,Uncategorised,
MARINE GEOCHEMISTRY,,Needs mapping
MARINE GEOPHYSICS,,Needs mapping
MARINE GRAVITY FIELD,,Needs mapping
MARINE HABITAT,,Needs mapping
MARINE INVERTEBRATES,Ocean Biota,
MARINE MAGNETICS,,Needs mapping
MARINE MAMMALS,Ocean Biota,
MARINE MICROBIOTA,Ocean Biota,
MARINE OBSTRUCTIONS,Uncategorised,
MARINE PLANTS,Ocean Biota,
MARINE REPTILES,Ocean Biota,
"MARINE SCIENCE, MARINE BIOLOGY, MARINE ECOLOGY, MARINE BIOTA, OCEANOGRAPHY, ENVIRONMENTAL GEOLOGY, OCEANS, COASTAL PROCESSES, COASTS, COASTAL WATERSHEDS, SEDIMENT, PALEOCLIMATOLOGY, FISHERIES, ICHTHYOLOGY",Uncategorised,
MARINE SEDIMENTS,,Needs mapping
MARINE VOLCANISM,,Needs mapping
MARITIME BOUNDARIES,Uncategorised,
MARITIME BOUNDARY,Uncategorised,
MARITIME ZONES,Uncategorised,
MARSHES,Biological,
MASS SPECTROMETERS,Uncategorised,
MAWSON,Uncategorised,
MAWSON COAST,Uncategorised,
MAWSON RESEARCH STATION,Uncategorised,
MAWSON STATION,Uncategorised,
MAXIMUM/MINIMUM TEMPERATURE,Air temperature,
MCDONALD ISLANDS,Uncategorised,
MCGRADY COVE,Uncategorised,
MCMURDO SOUND,Uncategorised,
MCMURDO STATION,Uncategorised,
MERTZ DEPRESSION,Uncategorised,
MERTZ GLACIER,Uncategorised,
MERTZ GLACIER POLYNYA,Uncategorised,
MERTZ GLACIER TONGUE,Uncategorised,
MERTZ POLYNYA,Uncategorised,
METAMORPHIC ROCK AGE DETERMINATIONS,Uncategorised,
METAMORPHIC ROCK FORMATION,Uncategorised,
METAMORPHIC ROCKS,Uncategorised,
METEOROLOGICAL MEASUREMENT SYSTEM,Uncategorised,
METEOROLOGICAL OPERATIONAL SATELLITE - A,Uncategorised,
METHANE,,Needs mapping
MICROALGAE,Ocean Biota,
MICROFAUNA,Biological,
MICROFLORA,Biological,
MICROFOSSILS,Biological,
MICRONUTRIENTS/TRACE ELEMENTS,Nutrient,
MICROSCOPES,Uncategorised,
MICROWAVE,,Needs mapping
MICROWAVE IMAGERY,Uncategorised,
MICROWAVE RADIOMETER,Uncategorised,
MIDWATER TRAWLS,Uncategorised,
MIGRATORY RATES/ROUTES,Uncategorised,
MILLIPEDES,Biological,
MINE DRAINAGE,Uncategorised,
MINERALS,,Needs mapping
MINICOSM,Uncategorised,
MINOR ELEMENTS,,Needs mapping
MISEQ GENOME SEQUENCER,Uncategorised,
MODELS,Uncategorised,
MODERATE-RESOLUTION IMAGING SPECTRORADIOMETER,Uncategorised,
MOLECULAR OXYGEN,,Needs mapping
MOLLUSKS,Ocean Biota,
MONOCOTS,Biological,
MONTANE HABITATS,,Needs mapping
MOORINGS,Uncategorised,
MORTALITY,Uncategorised,
MOSCOW UNIVERSITY ICESHELF,Uncategorised,
MOSSES/HORNWORTS/LIVERWORTS,Biological,
MUDFLAT,,Needs mapping
MULTI COLLECTOR INDUCTIVELY COUPLED PLASMA MASS SPECTROMETERS,Uncategorised,
MULTIBEAM MAPPING SYSTEM,Uncategorised,
MULTIBEAM SWATH BATHYMETRY SYSTEM,Uncategorised,
MURPHY ROCKS,Uncategorised,
MURRAY MONOLITH,Uncategorised,
MUSHROOMS,Biological,
MUSSELS,Ocean Biota,
MUTATION RATES,Uncategorised,
NATIONAL OCEANIC & ATMOSPHERIC ADMINISTRATION-11,Uncategorised,
NATIONAL OCEANIC & ATMOSPHERIC ADMINISTRATION-12,Uncategorised,
NATIONAL OCEANIC & ATMOSPHERIC ADMINISTRATION-14,Uncategorised,
NATIONAL OCEANIC & ATMOSPHERIC ADMINISTRATION-15,Uncategorised,
NATURAL DISASTER RISK ASSESSMENT,Uncategorised,
NATURAL SELECTION,Uncategorised,
NATURALISTE PLATEAU,Uncategorised,
NAUTICAL MILE LIMIT,Uncategorised,
NELLY ISLAND,Uncategorised,
NEOGENE,Uncategorised,
NERITIC ZONE,Uncategorised,
NET RADIATION,Air-Sea Fluxes,
NET RADIOMETERS,Uncategorised,
NETS,Uncategorised,
NEW ZEALAND,Uncategorised,
NEWCOMB BAY,Uncategorised,
NEWCOMBE BAY,Uncategorised,
NIMBUS-7,Uncategorised,
NINNIS BANK,Uncategorised,
NINNIS GLACIER,Uncategorised,
NISKIN BOTTLES,Uncategorised,
NITRATE,Nutrient,
NITRATE PARTICLES,Nutrient,
NITRIC ACID,Nutrient,
NITRITE,Nutrient,
NITROGEN,Nutrient,
NITROGEN COMPOUNDS,Nutrient,
NITROGEN DIOXIDE,,Needs mapping
NITROGEN OXIDES,,Needs mapping
NITROUS OXIDE,,Needs mapping
NONDISPERSIVE INFRARED GAS ANALYZER,Uncategorised,
NON-METHANE HYDROCARBONS,,Needs mapping
NON-METHANE HYDROCARBONS/VOLATILE ORGANIC COMPOUNDS,,Needs mapping
NOONAN COVE,Uncategorised,
NORPAC ZOOPLANKTON NET,Uncategorised,
NOT APPLICABLE,Uncategorised,
NUCLEAR RADIATION EXPOSURE,Uncategorised,
NUTRIENT CYCLING,Uncategorised,
NUTRIENTS,Nutrient,
OBIS - SPATIAL ECOLOGICAL ANALYSIS OF MEGAVERTEBRATE POPULATIONS,Uncategorised,
OBIS/AADC,Uncategorised,
OBIS/SCAR-MARBIN,Uncategorised,
OBJECT DETECTION,Uncategorised,
O'BRIEN BAY,Uncategorised,
OCEAN ACOUSTICS,Acoustics,
OCEAN BIOGEOGRAPHIC INFORMATION SYSTEM,Uncategorised,
OCEAN CHEMISTRY,Chemical,
OCEAN CIRCULATION,,Needs mapping
OCEAN COLOR,Optical properties,
OCEAN CONTAMINANTS,Chemical,
OCEAN CRUST DEFORMATION,Uncategorised,
OCEAN CURRENTS,Current,
OCEAN DRILLING PROGRAM,Uncategorised,
OCEAN GENERAL CIRCULATION MODELS (OGCM)/REGIONAL OCEAN MODELS,Uncategorised,
OCEAN HARBOUR,Uncategorised,
OCEAN HEAT BUDGET,,Needs mapping
OCEAN MIXED LAYER,,Needs mapping
OCEAN OPTICS,Optical properties,
OCEAN PLATEAUS/RIDGES,,Needs mapping
OCEAN PRESSURE,Water pressure,
OCEAN SALINITY,Salinity,
OCEAN SURFACE CURRENT RADAR,Uncategorised,
OCEAN TEMPERATURE,Temperature,
OCEAN TEMPERATURE PROFILES,Temperature,
OCEAN TOPOGRAPHY EXPERIMENT,Uncategorised,
OCEAN TRACERS,Chemical,
OCEAN UPWELLING/DOWNWELLING,,Needs mapping
OCEAN WAVES,Wave,
OCEAN WINDS,Wind,
OCEAN/LAKE RECORDS,,Needs mapping
OCEANIC ZONE,Uncategorised,
OCEANS,Uncategorised,
O'GORMAN ROCKS,Uncategorised,
OIL SPILLS,Uncategorised,
OPTICAL DEPTH,Optical properties,
OPTICAL PLANKTON COUNTER,Uncategorised,
ORBITAL CHANGE FORCING,,Needs mapping
ORGANIC CARBON,Carbon,
ORGANIC MATTER,Suspended particulate material,
ORGANIC PARTICLES,,Needs mapping
OSCILLATIONS,Air pressure,
OSTRACODS,Biological,
OUTGOING LONGWAVE RADIATION,Air-Sea Fluxes,
OXYGEN,,
OXYGEN ANALYZERS,Uncategorised,
OXYGEN DEMAND,Uncategorised,
OXYGEN ISOTOPES,,Needs mapping
OXYGEN METERS,Uncategorised,
OYSTER REEF,,Needs mapping
OYSTERS,Ocean Biota,
OZONE,,Needs mapping
PACIFIC DECADAL OSCILLATION,,Needs mapping
PACIFIC OCEAN,Uncategorised,
PACK ICE,Uncategorised,
PALEOCLIMATE,Uncategorised,
PALEOCLIMATE FORCING,Uncategorised,
PALEOCLIMATE INDICATORS,,Needs mapping
PALEOCLIMATE RECONSTRUCTIONS,,Needs mapping
PALEOMAGNETIC DATA,,Needs mapping
PALEOMAGNETISM,,Needs mapping
PARASITISM,Uncategorised,
PARK,Uncategorised,
PARTICLE FLUX,,Needs mapping
PARTICLE MEASURING SYSTEM,Uncategorised,
PARTICULATE MATTER,,Needs mapping
PARTICULATES,,Needs mapping
PASSIVE ACOUSTIC RECORDER,Uncategorised,
PEATLANDS,Uncategorised,
PELAGIC,Ocean Biota,
PELAGIC HABITAT,,Needs mapping
PELICANS AND ALLIES,Biological,
PENGUINS,Ocean Biota,
PERIGLACIAL PROCESSES,Uncategorised,
PESTICIDES,Chemical,
PETERSEN BANK,Uncategorised,
PETERSEN ISLAND,Uncategorised,
PETERSON BANK,Uncategorised,
PETREL ISLAND,Uncategorised,
PETROLEUM,Chemical,
PETROLEUM HYDROCARBONS,Chemical,
PH,Chemical,
PH METERS,Uncategorised,
PHANEROZOIC,Uncategorised,
PHASE CONTRAST MICROSCOPES,Uncategorised,
PHOSPHATE,Nutrient,
PHOSPHOROUS COMPOUNDS,Nutrient,
PHOTOSYNTHESIS,Uncategorised,
PHOTOSYNTHESIS CHAMBER,Uncategorised,
PHOTOSYNTHETICALLY ACTIVE RADIATION,Air-Sea Fluxes,
PHOTOSYNTHETICALLY ACTIVE RADIATION SENSORS,Uncategorised,
PHYTOPLANKTON,Ocean Biota,
PIER PILING,Uncategorised,
PIGMENTS,Other Pigment,
PIPELINES,Uncategorised,
"PIRATES BAY, TASMANIA",Uncategorised,
PISTON SAMPLERS,Uncategorised,
PLANETARY BOUNDARY LAYER HEIGHT,,Needs mapping
PLANETARY/ROSSBY WAVES,Air pressure,
PLANKTON,Ocean Biota,
PLANKTON NETS,Uncategorised,
PLANT BREEDING AND GENETICS,Uncategorised,
PLANT CHARACTERISTICS,Biological,
PLANT SUCCESSION,Uncategorised,
PLANTS,Biological,
PLATE TECTONICS,,Needs mapping
PLEISTOCENE,Uncategorised,
POINTE GEOLOGIE,Uncategorised,
POLAR,Uncategorised,
POLITICAL DIVISIONS,Uncategorised,
POLYNYAS,,Needs mapping
POPULATION,Biological,
POPULATION ABUNDANCE,Biological,
POPULATION DYNAMICS,Biological,
POPULATION SIZE,Biological,
PORPOISE BAY,Uncategorised,
PORTABLE FLUORESCENCE ANALYZERS,Uncategorised,
POSADOWSKY BAY,Uncategorised,
POST-BREEDING,Uncategorised,
POST-BREEDING PERIODS,Uncategorised,
POTENTIAL DENSITY,Salinity,
POTENTIAL TEMPERATURE,,
PRECIPITABLE WATER,Precipitation and evaporation,
PRECIPITATION,Precipitation and evaporation,
PRECIPITATION AMOUNT,Precipitation and evaporation,
PRECIPITATION ANOMALIES,Precipitation and evaporation,
PRECIPITATION RATE,Precipitation and evaporation,
PRECIPITATION TRENDS,Uncategorised,
PREDATION,Uncategorised,
PRESSURE SENSORS,Uncategorised,
PRESSURE TRANSDUCERS,Uncategorised,
PRIAPULANS,Ocean Biota,
PRIMARY PRODUCTION,Uncategorised,
PRINCE CHARLES MOUNTAINS,Uncategorised,
PRINCE CHARLES MOUTAINS,Uncategorised,
PRINCE EDWARD ISLANDS,Uncategorised,
PRINCESS ELIZABETH TROUGH,Uncategorised,
PRINCESS_ELIZABETH_TROUGH,Uncategorised,
PROBES,Uncategorised,
PROFILING FLOAT,Uncategorised,
PROTIST,Biological,
PROTISTS,Biological,
PRYDZ BAY,Uncategorised,
PUBLIC HEALTH,Uncategorised,
PUBLICATIONS,Uncategorised,
PYCNOCLINE,Salinity,
PYRANOMETERS,Uncategorised,
PYRGEOMETER,Uncategorised,
PYROMETERS,Uncategorised,
QUADRATS,Uncategorised,
QUATERNARY,Uncategorised,
QUEENSLAND,Uncategorised,
R/V AKADEMIK TRESHNIKOV,Uncategorised,
R/V AURORA AUSTRALIS,Uncategorised,
R/V L'ASTROLABE,Uncategorised,
R/V LAURENCE M. GOULD,Uncategorised,
R/V NATHANIEL B. PALMER,Uncategorised,
R/V NUYINA,Uncategorised,
R/V OSHORO-MARU,Uncategorised,
R/V POLARSTERN,Uncategorised,
R/V TANGAROA,Uncategorised,
R/V UMITAKA MARU,Uncategorised,
R/V YUZHMORGEOLOGIYA,Uncategorised,
RADAR ALTIMETERS,Uncategorised,
RADAR BACKSCATTER,,Needs mapping
RADAR ECHO SOUNDERS,Uncategorised,
RADAR IMAGERY,,Needs mapping
RADAR REFLECTIVITY,,Needs mapping
RADARSAT-1,Uncategorised,
RADARSAT-2,Uncategorised,
RADIANCE,Optical properties,
RADIATIVE FLUX,Air-Sea Fluxes,
RADIATIVE FORCING,Air-Sea Fluxes,
RADIO DETECTION AND RANGING,Uncategorised,
RADIO TRANSPONDERS,Uncategorised,
RADIO WAVE,,Needs mapping
RADIOACTIVE ELEMENTS,,Needs mapping
RADIOCARBON,,
RADIOLARIANS,Biological,
RADIOMETERS,Uncategorised,
RADIONUCLIDES,Chemical,
RAIN,Precipitation and evaporation,
RANGE CHANGES,Biological,
RAUER GROUP,Uncategorised,
RAUER ISLANDS,Uncategorised,
RAY-FINNED FISHES,Ocean Biota,
RECLAMATION/REVEGETATION/RESTORATION,Uncategorised,
RECREATIONAL ACTIVITIES/AREAS,Uncategorised,
RECYCLING,Uncategorised,
RED ALGAE,Ocean Biota,
REEF,,Needs mapping
REEF FISH,Ocean Biota,
REEF HABITAT,,Needs mapping
REFLECTANCE,,
REFLECTED INFRARED,,Needs mapping
REFORESTATION,Uncategorised,
RELATIVE HUMIDITY,Humidity,
RELIEF,,Needs mapping
REMOTELY OPERATED VEHICLES,Uncategorised,
REPRODUCTION,Uncategorised,
REPTILES,Biological,
RESPIRATION RATE,Biological,
RIBBON WORMS,Ocean Biota,
RICHARDSON LAKE,Uncategorised,
RIFT VALLEYS,,Needs mapping
RIG SEISMIC SEAMOUNT,Uncategorised,
RIPARIAN WETLANDS,,Needs mapping
RIVER CLOSING LINE,Uncategorised,
RIVERS/STREAM,Uncategorised,
RIVERS/STREAM HABITAT,,Needs mapping
RIVERS/STREAMS,Uncategorised,
ROCKS/MINERALS/CRYSTALS,,Needs mapping
ROCKY COASTS,,Needs mapping
ROCKY INTERTIDAL,,Needs mapping
ROCKY SHORE,,Needs mapping
ROCKY SUBSTRATA,,Needs mapping
RODENTS,Biological,
ROSS ICE SHELF,Uncategorised,
ROSS ISLAND,Uncategorised,
ROSS SEA,Uncategorised,
ROTHERA STATION,Uncategorised,
ROTIFERS,Biological,
ROUNDWORMS,Biological,
RUNOFF,Uncategorised,
SABRINA COAST,Uncategorised,
SABRINA COAST CONTINENTAL SLOPE,Uncategorised,
SABRINA CONTINENTAL SLOPE,Uncategorised,
SALINE LAKES,,Needs mapping
SALINITY,Salinity,
"SALINITY, TEMPERATURE , CONDUCTIVITY",Uncategorised,
SALINITY/DENSITY,Salinity,
SALINOMETERS,Uncategorised,
SALMONS/TROUTS,Biological,
SALPS,Ocean Biota,
SALT MARSH,,Needs mapping
SALT TRANSPORT,Salinity,
SALTWATER INTRUSION,,Needs mapping
SANDEFJORD BAY,Uncategorised,
SATELLITE RADIO BEACON,Uncategorised,
SATELLITES,Uncategorised,
SATELLITE-TO-SATELLITE TRACKING INSTRUMENT,Uncategorised,
SATURATION SPECIFIC HUMIDITY,Humidity,
SAV/SEA GRASS BED,,Needs mapping
SAVANNAS,,Needs mapping
SCANNING ELECTRON MICROSCOPES,Uncategorised,
SCANNING MULTICHANNEL MICROWAVE RADIOMETER,Uncategorised,
SCAR MARINE BIODIVERSITY INFORMATION NETWORK,Uncategorised,
SCATTERING,Optical properties,
SCAVENGING,Uncategorised,
SCINTILLATION COUNTERS,Uncategorised,
SCULLIN MONOLITH,Uncategorised,
SEA ANEMONES,Ocean Biota,
SEA FLOOR,Uncategorised,
SEA ICE,,Needs mapping
SEA ICE AGE,,Needs mapping
SEA ICE AREA,,Needs mapping
SEA ICE CONCENTRATION,,Needs mapping
SEA ICE ELEVATION,,Needs mapping
SEA ICE MOTION,,Needs mapping
SEA ICE STRAIN RATES,,Needs mapping
SEA LEVEL CHANGE,,Needs mapping
SEA LEVEL PRESSURE,Water pressure,
SEA LEVEL RISE,,Needs mapping
SEA PENS,Ocean Biota,
SEA SQUIRTS,Ocean Biota,
SEA STARS,Ocean Biota,
SEA STATE,Wave,
SEA SURFACE,Uncategorised,
SEA SURFACE HEIGHT,Sea surface height,
SEA SURFACE SUBSKIN TEMPERATURE,Temperature,
SEA SURFACE TEMPERATURE,Temperature,
SEA SURFACE TEMPERATURE INDICES,Temperature,
SEA SURFACE TEMPERATURE RECONSTRUCTION,Temperature,
SEA SURFACE TOPOGRAPHY,Sea surface height,
SEA URCHINS,Ocean Biota,
SEAFLOOR SPREADING,,Needs mapping
SEAFLOOR TOPOGRAPHY,Bathymetry,
SEAGRASS,Ocean Biota,
SEALS/SEA LIONS/WALRUSES,Ocean Biota,
SEAMOUNTS,,Needs mapping
SEASONAL ICE ZONE,,Needs mapping
SEASONALLY FROZEN GROUND,,Needs mapping
SEA-VIEWING WIDE FIELD-OF-VIEW SENSOR,Uncategorised,
SECCHI DEPTH,Optical properties,
SECONDARY PRODUCTION,Uncategorised,
SEDIMENT CHARACTERISTICS,,Needs mapping
SEDIMENT CHEMISTRY,,Needs mapping
SEDIMENT COMPOSITION,,Needs mapping
SEDIMENT CORERS,,Needs mapping
SEDIMENT GRAIN SIZE,,Needs mapping
SEDIMENT THICKNESS,,Needs mapping
SEDIMENT TRANSPORT,,Needs mapping
SEDIMENT TRAPS,Uncategorised,
